ID,カテゴリ,サブカテゴリ,要件,対象,合格基準,測定方法,優先度,備考
NFR-REL-005,信頼性,例外ハンドリング,想定外エラー時にユーザーが復帰できる導線を提供すること。,全画面,致命的でないエラーはダイアログ/スナックバーで通知し、再試行/戻るが可能。,異常系（DB open失敗等）の手動試験。,Should,
NFR-DATA-001,データ/ストレージ,永続化,取引/カテゴリ/設定/リマインダー/ボーナス等が再起動後も保持されること。,F001-F047,各データの追加・変更後、アプリ再起動しても内容が維持される。,E2E: 追加→再起動→確認。,Must,
NFR-DATA-002,データ/ストレージ,スキーマ移行,アプリ更新でDBスキーマが変わってもユーザーデータが失われないこと。,DB,schemaVersion更新時にマイグレーションが定義され、旧DBから起動できる。,旧バージョンDBを用いた移行テスト。,Must,
NFR-DATA-003,データ/ストレージ,カテゴリ削除整合,カテゴリ削除時、既存取引は「未分類」に置換されること。,"P07,F035",カテゴリ削除後も一覧/集計で例外が出ず、未分類として表示・集計される。,結合テスト + 手動確認。,Must,収入/支出カテゴリは分離。
NFR-DATA-004,データ/ストレージ,取引削除,取引削除は完全削除であり、復元機能は持たないこと。,"P02,F012,F013",削除後はDBから消え、一覧/集計/CSVに反映されない。,ユニット + 結合テスト。,Must,
NFR-DATA-005,データ/ストレージ,CSV正確性,CSVは指定期間のデータを正しく出力すること。,"P06,F029-F032","DBの対象期間レコードとCSVの件数・内容が一致する（列: 日付,カテゴリ,収支,金額,属性）。",golden比較テスト + 手動サンプリング。,Must,金額は整数。
NFR-DATA-006,データ/ストレージ,容量,データ量が増えてもアプリが破綻しないこと。,全機能,取引2万件、カテゴリ200件、リマインダー50件で起動/一覧/集計が可能。,負荷用テストデータ投入 + 実機確認。,Should,上限は運用で調整。
NFR-DATA-007,データ/ストレージ,バックアップ,端末機種変更時の移行/バックアップ方針を明記すること。,運用ドキュメント,バックアップ可否、方法（OSバックアップ等）がドキュメント化されている。,ドキュメントレビュー。,TBD,TBD（今回対象外）。アプリ内エクスポート無しの場合はその旨を明確化。
NFR-SEC-001,セキュリティ/プライバシー,外部送信禁止,家計データを外部に送信しない（ローカル完結）こと。,全機能,通常操作で外部通信が発生しない（解析SDK等含む）。,通信監視（プロキシ/OSログ）で外部送信ゼロ確認。,Must,F034の挙動は別途確定。
NFR-SEC-002,セキュリティ/プライバシー,データ共有ON/OFF,データ共有（F034）OFF時は外部送信が絶対に発生しないこと。,"P10,F034",OFF状態で通信がゼロ。ON状態でも現段階では送信しない（将来拡張を除く）。,設定切替 + 通信監視。,TBD,TBD（今回対象外）。仕様確定後に差し替え。
NFR-SEC-003,セキュリティ/プライバシー,ログ,ログに個人情報（取引メモ、金額、カテゴリ名等）を出さないこと。,全機能,例外ログに取引内容が含まれない。,ログレビュー + テスト時ログ収集。,Must,
NFR-SEC-004,セキュリティ/プライバシー,CSV共有注意,CSV共有は外部アプリに渡る可能性があるため注意喚起すること。,"P06,F032",共有前に確認ダイアログを表示し、キャンセル可能。,UIテスト。,Should,
NFR-SEC-005,セキュリティ/プライバシー,権限最小化,アプリが要求するOS権限を最小限にすること。,全機能,必須権限は通知のみ（または要件で定義したもののみ）。不要な権限は要求しない。,manifest/Info.plistレビュー + 実機確認。,Must,初期リリースではリマインダー機能（F036）を提供しないため、通知権限要求は不要（将来追加時に見直し）。
NFR-UX-001,使用性,金額入力,金額は整数のみ入力可能で、エラーが分かりやすいこと。,P03,小数/空欄/負数/上限超過は保存不可で、エラーメッセージ表示。,フォームテスト（unit/widget）。,Must,
NFR-UX-002,使用性,破壊的操作,削除など破壊的操作は誤操作防止があること。,"P02,P07",削除実行前に確認（ダイアログ等）を挟み、取り消し導線を検討する。,UIテスト + 受入チェック。,Should,完全削除要件と両立。
NFR-UX-003,使用性,期間ナビゲーション,期間（35/42）移動が迷わず行えること。,"P01,P04,P05",前/次期間の遷移が一貫し、期間境界がカレンダー上で把握できる。,手動レビュー + ユーザーテスト（任意）。,Should,
NFR-ACC-001,アクセシビリティ,フォントスケール,端末の文字サイズ変更に追従し、主要導線が操作可能なこと。,全画面,fontScale最大でもボタン/タブ/入力が欠けず、操作できる。,OS設定で文字サイズ変更し確認。,Should,
NFR-ACC-002,アクセシビリティ,スクリーンリーダ,主要操作要素にラベルが付与され、TalkBack/VoiceOverで理解可能なこと。,主要画面,ボトムバー、主要ボタン、入力項目に意味のある読み上げがある。,実機でTalkBack/VoiceOver確認。,Should,
NFR-COMP-001,互換性/移植性,対応OS,最小対応OS（Android/iOS）を定義し、その範囲で動作保証すること。,全機能,pubspec/ビルド設定/ドキュメントに最小対応OSが明記され、CIでビルドが通る。,CIビルド + 実機確認。,TBD,TBD（今回対象外）。最小OSの数値は要決定。
NFR-COMP-002,互換性/移植性,画面サイズ,一般的なスマホ画面サイズでレイアウトが破綻しないこと。,全画面,小型〜大型の代表端末で主要UIが欠けない。,複数端末/エミュでのUI確認。,Must,タブ/グラフ/カレンダー重視。
NFR-COMP-003,互換性/移植性,ダークモード,ダークモードの対応方針を定義し、可読性を満たすこと。,全画面,方針（対応/非対応）がドキュメント化され、対応する場合は主要画面で可読。,テーマ切替試験。,TBD,TBD（今回対象外）。
NFR-MAINT-001,保守性/運用性,アーキテクチャ,UIとデータ層の責務分離を維持し、直接DBアクセスを禁止すること。,全コード,DB操作はRepository/UseCase経由に統一。,コードレビュー + lint/静的解析。,Must,
NFR-MAINT-002,保守性/運用性,テスト,重要ロジック（期間計算、集計、CSV、未分類置換、通知スケジュール）を自動テストで担保すること。,domain/data,主要ケースがCIで常に実行され、失敗時に原因が特定可能。,CIでflutter test / integration_test実行。,Must,
NFR-OPS-001,ログ/診断,ログ設計,不具合解析に必要な最低限のログを出し、個人情報は出さないこと。,全機能,画面ID/処理種別/例外はログに残るが、取引内容は含まれない。,ログレビュー。,Must,NFR-SEC-003と整合。
NFR-OPS-002,ログ/診断,エラーUI,DBエラー/権限エラー等でユーザーが次の行動を選べること。,全画面,少なくとも『戻る』『再試行』、必要時は『設定を開く』が提供される。,異常系手動試験 + UIテスト。,Should,
NFR-NOTIF-001,通知,曜日/複数時刻,リマインダーは曜日指定と複数時刻に対応し、正しいタイミングで通知されること。,"P08,F036",設定した曜日・時刻に通知が発火し、不要な曜日には出ない。,端末時刻を使った手動試験 + ログ。,Could,通知文言は固定。 初期リリース対象外（F036 / P08）。
NFR-NOTIF-002,通知,重複防止,同一リマインダーが重複通知しないこと。,P08,同一条件で通知が二重に出ない（再登録/再起動/アップデート後）。,再起動/再登録シナリオ試験。,Could,初期リリース対象外（F036 / P08）。
NFR-NOTIF-003,通知,タイムゾーン/夏時間,端末タイムゾーン変更後も通知時刻がユーザー意図に沿うこと。,P08,タイムゾーン変更後もローカル時刻ベースで発火する（方針を定義）。,タイムゾーン変更試験。,Could,日本のみ運用ならCouldに変更可。 初期リリース対象外（F036 / P08）。
NFR-I18N-001,ローカライズ,言語切替,言語変更（F039）の対象範囲を定義し、切替後に反映されること。,"P10,F039",切替後に主要ラベルが反映され、未翻訳はフォールバックする。,手動確認 + 文言一覧レビュー。,TBD,TBD（今回対象外）。初期は日本語のみでも可（要件次第）。
