TestReqID,種別,関連画面,関連機能,関連NFR,テスト内容,テストレベル,優先度,合格基準,自動化,備考,実装状況
TR-NFR-SEC-005,NFR,全機能,,NFR-SEC-005,アプリが要求するOS権限を最小限にすること。,Security/Review,Must,必須権限は通知のみ（または要件で定義したもののみ）。不要な権限は要求しない。,No/Partial,初期リリースではリマインダー機能（F036）を提供しないため、通知権限要求は不要（将来追加時に見直し）。,済
TR-NFR-UX-001,NFR,P03,,NFR-UX-001,金額は整数のみ入力可能で、エラーが分かりやすいこと。,Widget+Integration,Must,小数/空欄/負数/上限超過は保存不可で、エラーメッセージ表示。,Partial,,済
TR-NFR-UX-002,NFR,"P02,P07",,NFR-UX-002,削除など破壊的操作は誤操作防止があること。,Widget+Integration,Should,削除実行前に確認（ダイアログ等）を挟み、取り消し導線を検討する。,Partial,完全削除要件と両立。,未
TR-NFR-UX-003,NFR,"P01,P04,P05",,NFR-UX-003,期間（35/42）移動が迷わず行えること。,Widget+Integration,Should,前/次期間の遷移が一貫し、期間境界がカレンダー上で把握できる。,No/Partial,,済
TR-NFR-ACC-001,NFR,全画面,,NFR-ACC-001,端末の文字サイズ変更に追従し、主要導線が操作可能なこと。,Manual(実機),Should,fontScale最大でもボタン/タブ/入力が欠けず、操作できる。,Partial,,未
TR-NFR-ACC-002,NFR,主要画面,,NFR-ACC-002,主要操作要素にラベルが付与され、TalkBack/VoiceOverで理解可能なこと。,Manual(実機),Should,ボトムバー、主要ボタン、入力項目に意味のある読み上げがある。,No/Partial,,未
TR-NFR-COMP-001,NFR,全機能,,NFR-COMP-001,最小対応OS（Android/iOS）を定義し、その範囲で動作保証すること。,Manual(端末/OS),TBD,pubspec/ビルド設定/ドキュメントに最小対応OSが明記され、CIでビルドが通る。,Yes/Partial,TBD（今回対象外）。最小OSの数値は要決定。,未
TR-NFR-COMP-002,NFR,全画面,,NFR-COMP-002,一般的なスマホ画面サイズでレイアウトが破綻しないこと。,Manual(端末/OS),Must,小型?大型の代表端末で主要UIが欠けない。,Partial,タブ/グラフ/カレンダー重視。,未
TR-NFR-COMP-003,NFR,全画面,,NFR-COMP-003,ダークモードの対応方針を定義し、可読性を満たすこと。,Manual(端末/OS),TBD,方針（対応/非対応）がドキュメント化され、対応する場合は主要画面で可読。,Partial,TBD（今回対象外）。,未
TR-NFR-MAINT-001,NFR,全コード,,NFR-MAINT-001,UIとデータ層の責務分離を維持し、直接DBアクセスを禁止すること。,Review+CI,Must,DB操作はRepository/UseCase経由に統一。,No/Partial,,済
TR-NFR-MAINT-002,NFR,domain/data,,NFR-MAINT-002,重要ロジック（期間計算、集計、CSV、未分類置換、通知スケジュール）を自動テストで担保すること。,Review+CI,Must,主要ケースがCIで常に実行され、失敗時に原因が特定可能。,Yes/Partial,,未
TR-NFR-OPS-001,NFR,全機能,,NFR-OPS-001,不具合解析に必要な最低限のログを出し、個人情報は出さないこと。,Review+Manual,Must,画面ID/処理種別/例外はログに残るが、取引内容は含まれない。,No/Partial,NFR-SEC-003と整合。,未
TR-NFR-OPS-002,NFR,全画面,,NFR-OPS-002,DBエラー/権限エラー等でユーザーが次の行動を選べること。,Review+Manual,Should,少なくとも『戻る』『再試行』、必要時は『設定を開く』が提供される。,No/Partial,,未
TR-NFR-NOTIF-001,NFR,"P08,F036",,NFR-NOTIF-001,リマインダーは曜日指定と複数時刻に対応し、正しいタイミングで通知されること。,Manual(実機),Could,設定した曜日・時刻に通知が発火し、不要な曜日には出ない。,No/Partial,通知文言は固定。 初期リリース対象外（F036 / P08）。,未
TR-NFR-NOTIF-002,NFR,P08,,NFR-NOTIF-002,同一リマインダーが重複通知しないこと。,Manual(実機),Could,同一条件で通知が二重に出ない（再登録/再起動/アップデート後）。,Partial,初期リリース対象外（F036 / P08）。,未
TR-NFR-NOTIF-003,NFR,P08,,NFR-NOTIF-003,端末タイムゾーン変更後も通知時刻がユーザー意図に沿うこと。,Manual(実機),Could,タイムゾーン変更後もローカル時刻ベースで発火する（方針を定義）。,Partial,日本のみ運用ならCouldに変更可。 初期リリース対象外（F036 / P08）。,未
TR-NFR-I18N-001,NFR,"P10,F039",,NFR-I18N-001,言語変更（F039）の対象範囲を定義し、切替後に反映されること。,Manual,TBD,切替後に主要ラベルが反映され、未翻訳はフォールバックする。,No/Partial,TBD（今回対象外）。初期は日本語のみでも可（要件次第）。,未

